id,phase,task,owner,start,due,effort_h,depends_on,blocking,muc_do,status
T0.8,P0,"XIN AWS GPU QUOTA >=96 vCPU bucket G/VT us-east-1 (g6e.12xlarge can 48; mac dinh = 0)",,2026-09-21,2026-09-21,1,,yes,"Ho so da gui; xac nhan quota duoc tang (co the mat toi 72h)",todo
T0.9,P0,"XIN HF ACCESS 4 repo gated: Llama-3.1-8B / Meta-Llama-3.1-8B / Gemma-2-9B / Meta-SecAlign-8B",,2026-09-21,2026-09-21,1,,yes,"Ca 4 repo truy cap duoc bang HF_TOKEN tren dung tai khoan; Qwen + Mistral khong can xin",todo
T0.1,P0,Lien he ban PC AAMAS ve han dang ky OpenReview da qua (17/09),,2026-09-21,2026-09-21,0.5,,yes,"Email da gui + tra loi duoc ghi vao decision_log.md",todo
T0.2,P0,Tao tai khoan OpenReview cho toan bo tac gia,,2026-09-21,2026-09-22,1,T0.1,no,Tat ca tac gia co profile OpenReview hop le,todo
T0.3,P0,Chot danh sach tac gia that + thu tu + affiliation + email + ORCID,,2026-09-21,2026-09-22,1,,yes,Thay het Author One/Two/Three va chu Placeholder trong main.tex,todo
T0.6,P0,"Chot nguon luc: EC2 g6e.48xlarge on-demand + vLLM + LiteLLM (da chot)",,2026-09-21,2026-09-21,1,,yes,ec2_runbook.md duoc thong qua,done
T0.4,P0,Chot pham vi ban 8 trang va 3 dong gop chinh,,2026-09-21,2026-09-22,2,,yes,scope_locked.md duoc tao,todo
T0.5,P0,Chot area of interest GAAI (du phong EMAS/GTEP),,2026-09-21,2026-09-22,0.5,T0.4,yes,Area duoc ghi vao decision_log.md,todo
T0.10,P0,"Tai trong so tren instance CPU re trong luc cho quota (--exclude original/*)",,2026-09-21,2026-09-22,3,T0.9,no,"206 GB trong so san; 1TB gp3 @1000MiB/s san sang",todo
T0.7,P0,Dien audits/preregistration_protocol.md TRUOC run dau tien,,2026-09-23,2026-09-24,1.5,T0.6,T2.5,File duoc dien day du va dong bang (frozen),todo
POS-1,POS,Doc toan van RoPoLL (arXiv 2606.30931) va ghi ro aggregator/benchmark/breakdown point,,2026-09-21,2026-09-23,3,,yes,Co 1 doan so sanh truc tiep voi RoPoLL,todo
POS-2,POS,Tai artifact Many Minds (Zenodo 21235385) va doc bang effective votes,,2026-09-21,2026-09-23,2,POS-1,no,Doi chieu duoc voi Menh de 3,todo
POS-6,POS,"TIM BAN DAY DU cua EvalHack (Information MDPI 17(3):297) - rui ro scoop chua danh gia duoc",,2026-09-21,2026-09-23,3,,yes,Xac dinh duoc EvalHack co trung voi setting cua bai khong,todo
