citation_key,paper_title,authors,year,venue,DOI_or_arXiv_or_URL,verification_source,verification_level,manuscript_section,exact_claim_supported,source_location,notes
zeng2024autodefense,AutoDefense: Multi-Agent LLM Defense against Jailbreak Attacks,"Zeng, Wu, Zhang, Wang, Wu",2024,arXiv,arXiv:2403.04783,arxiv.org/abs/2403.04783,full-text verified,"Intro; Related Work; System Model; Experiments","AutoDefense chains Input/Analyzer/Judge agents under a single Coordinator, assumes honest agents, and reduces jailbreak ASR (e.g. 55.74%->7.95% with LLaMA-2-13b 3-agent)",Abstract/Sec. Method,Primary baseline and the assumption we drop
chen2025secalign,SecAlign: Defending Against Prompt Injection with Preference Optimization,"Chen, Zharmagambetov, Mahloujifar, Chaudhuri, Wagner, Guo",2025,ACM CCS 2025,arXiv:2410.05451,arxiv.org/abs/2410.05451,full-text verified,"Intro; Related Work; Method; Experiments","Preference-optimization hardening of a single model reduces prompt-injection success below ~10%; single-model, no co-defender",Abstract/Method,Hardened-judge component and single-model baseline
chen2024struq,StruQ: Defending Against Prompt Injection with Structured Queries,"Chen, Piet, Sitawarin, Wagner",2025,USENIX Security 2025,arXiv:2402.06363,arxiv.org/abs/2402.06363,full-text verified,"Intro; Method (payload isolation)","Structured queries separate prompt and data into two channels via a secure front-end plus fine-tuning, improving injection resistance with little utility loss",Abstract,Payload-isolation component basis
blanchard2017krum,Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent,"Blanchard, El Mhamdi, Guerraoui, Stainer",2017,NeurIPS 2017,NeurIPS 2017,papers.nips.cc 2017,full-text verified,"Intro; Preliminaries; Theory; Method","Krum selects the vector minimizing sum of distances to nearest n-f-2 others; tolerant when 2f+2<n, under a trusted master aggregating gradients",Sec. 3/Def. Krum,Aggregation family + the 2f+2<n condition; we transplant it to verdicts
inan2023llamaguard,Llama Guard: LLM-based Input-Output Safeguard for Human-AI Conversations,"Inan, Upasani, Chi, Rungta, Iyer, Mao, Tontchev, Hu, Fuller, Testuggine, Khabsa",2023,arXiv,arXiv:2312.06674,arxiv.org/abs/2312.06674,full-text verified,"Related Work; System Model","An LLM fine-tuned on a safety taxonomy classifies unsafe prompts/responses; used as an optional guard agent in AutoDefense",Abstract,Guard-agent context
greshake2023injection,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,"Greshake, Abdelnabi, Mishra, Endres, Holz, Fritz",2023,AISec@CCS 2023,arXiv:2302.12173,arxiv.org/abs/2302.12173,full-text verified,"Intro; Threat Model","Indirect prompt injection: adversarial instructions hidden in retrieved/external content hijack LLM-integrated apps",Abstract/Sec. 3,Basis for second-order injection surface
wallace2024instruction,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,"Wallace, Xiao, Leike, Weng, Heidecke, Beutel",2024,arXiv,arXiv:2404.13208,arxiv.org/abs/2404.13208,full-text verified,"Intro; Problem Formulation; Method","Training LLMs to prioritize privileged (system/developer) instructions over lower-privilege content improves injection/jailbreak robustness",Abstract,Task-integrity / instruction-hierarchy generalization
hines2024spotlighting,Defending Against Indirect Prompt Injection Attacks with Spotlighting,"Hines, Lopez, Hall, Zarfati, Zunger, Kiciman",2024,arXiv,arXiv:2403.14720,arxiv.org/abs/2403.14720,full-text verified,"Method (payload isolation); Related Work","Delimiting/encoding/marking untrusted input (spotlighting) helps the model separate instructions from data, reducing indirect injection",Abstract,Payload-isolation design alternative
zhan2024injecagent,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated LLM Agents,"Zhan, Liang, Ying, Kang",2024,Findings of ACL 2024,arXiv:2403.02691,arxiv.org/abs/2403.02691,full-text verified,"Experiments (benchmarks); Related Work","Tool-integrated LLM agents are broadly vulnerable to indirect prompt injection delivered via tool outputs; provides a benchmark",Abstract,Injection benchmark for evaluation
liu2024formalizing,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,"Liu, Jia, Geng, Jia, Gong",2024,USENIX Security 2024,arXiv:2310.12815,arxiv.org/abs/2310.12815,full-text verified,"Related Work; Threat Model; Experiments","Formal framework and unified benchmark for prompt-injection attacks/defenses across models and tasks",Abstract,Formal injection taxonomy + benchmark
